no,ulasan,entity,GT
268,"
Ditempat ini sejuk dan nyaman semenjak pasar tradisional dibongkar dan dipindah. Pemandangannya luar biasa, kita bisa melihat pegunungan ""putri tidur"" disebelah barat sambil joging/bercengkrama dg keluarga di gazebo yg disediakan. Banyak taman bermain yang diperuntukkan anak anak kecil, jadi kalau ngajak keluarga ga perlu khawatir. Kuliner juga banyak pilihan dan murah meriah. Lahan parkir juga disediakan. Banyak masjid juga di lokasi, jadi gak perlu khawatir ketinggalan shalat",Taman Merjosari,D
269,"
kurang terawat",Taman Merjosari,TD
270,"
taman nya sebenernya bagus, mungkin penataan nya harus di atur kembali",Taman Merjosari,D
271,"
Mantabb untuk berfoto""",Taman Merjosari,D
272,"
Nyaman",Taman Merjosari,D
273,"
Taman Singha Merjo atau yang lebih akrab di kenal Taman Merjo adalah sebuah taman di tengah kota Malang. Taman ini ramai di kunjungi orang-orang yang olahraga. Bisa di gunakan untuk lari, basket, skateboard, bersepeda, dll. Selain itu di sebelah jalan Taman Merjojuga banyak pedagang kali lima menjual makanan ringan. Upss nice untuk njajajn",Taman Merjosari,D
274,"
Sangat enak",Taman Merjosari,D
275,"
Enak banget kalo buat olahraga..",Taman Merjosari,D
276,"
Cilok depan tamannya perlu dicoba.",Taman Merjosari,N
277,"
Tamannya luas. Sayang ada beberapa titik kurang terawat. Bagaimana bila disini didirikan rumah singgah untuk kucing? Sbab terlihat beberapa kucing ditelantarkan di taman ini.",Taman Merjosari,TD
278,"
Good good. Fasilitas tamannya banyak dan tertata cukuo rapi",Taman Merjosari,D
279,"
Tempatnya nyaman",Taman Merjosari,D
280,"
Buat joging oke, buat jalan santai oke, buat fitness oke, buat maen oke, buat makan oke, buat ngerjain tugas oke, buat nongkrong oke, buat terapi kaki oke, buat foto"" oke, buat tidur siang oke, nyaman lah pokoknya...",Taman Merjosari,D
281,"
Tempat yg ok buat bermain bersama keluarga... Masuk free.... Yg jualan makanan juga banyak",Taman Merjosari,D
282,"
Dekat area kampus..",Taman Merjosari,N
283,"
Tempatnya enak ada tempat buat fitnes juga tapi gazebo nya dikit banget jd kalau kesini mesti rebutan duluan ke gazebo nya",Taman Merjosari,TD
284,"
Taman yang cukup indah, kebersihan terjaga disertai beberapa fasilitas olahraga.
Silahkan berkunjung, ada fasilitas parkir dan toilet juga.
Camilan dan makanan berat juga banyak dijual di sekitar.",Taman Merjosari,D
285,"
Enak baksonya",Taman Merjosari,N
286,"
Taman yang Sangat Luas, Asri, Sejuk, Alami Dan Banyak Mainan Untuk Anak"" Dan Orang Dewasa. Tapi Sayangnya sekarang Banyak yang Tidak Terawat.",Taman Merjosari,D
287,"
Taman yang representatif......edukatif maupun sekedar jogging....",Taman Merjosari,D
288,"
Luas",Taman Merjosari,N
289,"
Asik untuk santai dan pose-pose",Taman Merjosari,D
290,"
Muantab nyaman dan aman",Taman Merjosari,D
291,"
Tempat lumayan bersih tapi sayang banyak kucing liar",Taman Merjosari,D
292,"
RTH yang sangat dibutuhkan. Banyak memiliki wahana bermain dan olahraga. Sedikit disayangkan kondisi yang kurang terawat baik",Taman Merjosari,D
293,"
enak buat rekreasi kluarga",Taman Merjosari,D
294,"
Bagus",Taman Merjosari,D
295,"
Cocok buat tempat olahraga, buat jalan jalan juga cocok bangetðŸ˜",Taman Merjosari,D
296,"
Perawatan kurang sedikit",Taman Merjosari,D
297,"
Adem , dan banyak kucing",Taman Merjosari,D
298,"
Cocok buat cari angin di malam hari. Cocok buat ngobrol juga.",Taman Merjosari,D
299,"
Fasilitas komplit jalan-jalan sore jadi sekalian nemenin anak* main keren. Sekalian bawa cemilan khas malang Banana Strudel ðŸ˜ƒ",Taman Merjosari,D
300,"
Taman bersantai",Taman Merjosari,D
301,"
Sangat memuaskan pelayanannya terus tingkatkan dan Sukses trus Gbu",Rumah Sakit Saiful Anwar,D
302,"
Pelayanan sangat buruk, khususnya SECURITY apalagi dalam kondisi urgent",Rumah Sakit Saiful Anwar,TD
303,"
Antri nya begitu banyak",Rumah Sakit Saiful Anwar,N
304,"
Diawali dari tempat parkir yg semrawut.Perawat perawat senior yg ketus tdk respek kepada pasien dan keluarganya.Administrasi yg lambat dan tdk konsisten.Protokol Kesehatan sudah baik,hanya petugas Satpam hrs lebih teliti dlm menyaring Prokes.Sebaiknya utamakan Kesehatan Publik dahulu.Fasilitas tempat duduk banyak yg tidak baik dan kotor.",Rumah Sakit Saiful Anwar,TD
305,"
Apa ada loker lulusan SMA?",Rumah Sakit Saiful Anwar,N
306,"
Dimana mendapatkan Vaksin Nusantara ya ?",Rumah Sakit Saiful Anwar,N
307,"
Mohon maaf sebelumnya. Apakah ketika setelah periksa di poli tht klinik neurologi untuk nunggu hasilnya harus nunggu sampai 3 jam? Sedangkan yang diperiksa adalah anak kecil.",Rumah Sakit Saiful Anwar,N
308,"
Nakes nakes ramah ramah. Yang sangat disayangkan petugas apotik loket 3 pasien JKN lantai bawah. galaknya minta ampun. Orang mohon informasi malah di gas. duh Gusti.",Rumah Sakit Saiful Anwar,TD
309,"
Rumah tipe A di Malang",Rumah Sakit Saiful Anwar,N
310,"
Semoga RSSA sukses selalu dalam melayani pasien",Rumah Sakit Saiful Anwar,D
311,"
Rumah sakit yang sangat ramah dan bersih. Rumah sakit pendidikan sangat baik dalam merawat pasien karna akan sangat teliti dan pasien juga menjadi bertambah pintar karna banyak pengetahuan medis yang didapat ðŸ‘",Rumah Sakit Saiful Anwar,D
312,"
Saya pernah mengantarkan keluarga saya yang mendapatkan rujukan dari RS tipe B ke RSSA beberapa waktu lalu, RSSA salah satu RS rujukan tipe A dimalang dimana sarana dan prasarananya lengkap. Memang pasien disana sangat banyak, tetapi saya sangat puas dalam pelayanannya. Terima kasih RSSA",Rumah Sakit Saiful Anwar,D
313,"
Semoga RSSA tetap memberikan pelayanan yang terbaik dan menjadi RS Five Star",Rumah Sakit Saiful Anwar,D
314,"
RSUD Dr. Saiful Anwar Malang adalah RS pendidikan yang letaknya strategis dan karyawannya yang ramah.",Rumah Sakit Saiful Anwar,D
315,"
bagus rumah sakitnya, tempatnya bersih, TOP BANGET",Rumah Sakit Saiful Anwar,D
316,"
Sukses terus RSSA",Rumah Sakit Saiful Anwar,D
317,"
RSUD dr. Saiful Anwar adalah rumah sakit yang sangat baik dan dapat mendidik para dokter yang sangat berkualitas",Rumah Sakit Saiful Anwar,D
318,"
terima kasih atas pelayanan yang diberikan.",Rumah Sakit Saiful Anwar,D
319,"
Sempat tes kesehatan disini. Awal masuk satpam membantu mengarahkan dan membantu memilihkan nomor antrian. Pemeriksaannya lengkap. Rumah sakitnya besar. Protokol kesehatan juga selalu dijaga mulai dari skrining di depan, jaga jarak dan pemeriksaan suhu, jadi merasa tenang dan terjaga.",Rumah Sakit Saiful Anwar,D
320,"
dokter dan direksi berpengalaman dan tanggap",Rumah Sakit Saiful Anwar,D
321,"
RSSA senantiasa berusaha memberikan pelayanan terbaik, patient safety dan mutu pelayanan menjadi prioritas utama, semoga RSSA semakin jaya dan senantiasa dapat memberikan pelayanan prima",Rumah Sakit Saiful Anwar,D
322,"
Fasilitas dilengkapi dengan peralatan canggih, pelayanan ramah, suasana nyaman",Rumah Sakit Saiful Anwar,D
323,"
semuanya ramah2 dan fasilitasnya lengkap",Rumah Sakit Saiful Anwar,D
324,"
RSSperalatan lengkap",Rumah Sakit Saiful Anwar,D
325,"
Saya mendapatkan kesempatan untuk menjalani kegiatan P4R di FKUB-RSSA. Kami diterima dengan baik, acara penyerahannya berjalan lancar dan pegawai rumah sakit terutama pimpinan dan jajarannya profesional dan ramah. Pemateri kompeten dan sangat bersemangat.",Rumah Sakit Saiful Anwar,D
326,"
Sangat luar biasa",Rumah Sakit Saiful Anwar,D
327,"
Sedang mengikuti acara P4R yang diadakan oleh FKUB dan RSSA, acaranya menyenangkan, kami diajari untuk melakukan komunikasi efektif untuk bekal bekerja dikemudian hari. Acara tepat waktu dan pemateri sangat berkompeten.",Rumah Sakit Saiful Anwar,D
328,"
Baik dan bagus dalam pelayanan",Rumah Sakit Saiful Anwar,D
329,"
RSSA Tercinta, banyak ilmu yang di dapat. Semoga pasien pasien di angkat penyakitnya dan di berikan kesembuhan.",Rumah Sakit Saiful Anwar,D
330,"
Pelayanan memuaskan, koass, dokter PPDS dan Perawat ramah ramah. Good Job",Rumah Sakit Saiful Anwar,D
331,"
RS pendidikan yang menerapkan 5S baik dari segi pelayanan medis maupun non medisnya. Tetap dipertahankan dan terus ditingkatkan",Rumah Sakit Saiful Anwar,D
332,"
Terima kasih saya ucapkan untuk pelayanan P4R yang sudah diberikan ole RSUD Saiful Anwar. Sejauh ini saya puas dan senang arena mendapatkan banyak informasi. Terima kasih",Rumah Sakit Saiful Anwar,D
333,"
pelayanan terbaik, alat kedokteran canggih, dokter yang menangani sangat kompeten dan juga peduli terhadap pasiennya.",Rumah Sakit Saiful Anwar,D
334,"
Rumah Kedua yang Luar biasa... terimakasih atas ilmunya bpk/ibu dokter",Rumah Sakit Saiful Anwar,D
335,"
Alat-alat sangat lengkap",Rumah Sakit Saiful Anwar,D
336,"
Pelayanan Ramah dan Profesional",Rumah Sakit Saiful Anwar,D
337,"
pelayanan baik dan petugas sangat ramah..",Rumah Sakit Saiful Anwar,D
338,"
Ibu saya dari 07.30 ke RSSA, jam 17.00 baru masuk rumah perkara administrasi. Rumah Singosari.",Rumah Sakit Saiful Anwar,TD
339,"
6 jam di RS, 3 menit konsultasi dr onko, 20 menit Dr. Dalam (yg bikin lama krn dokternya ngetik di hp mulu), sisanya antriiii subhanallah. 6 jam ini blm nebus obatnya.

Memangnya kalau bpjs harus diperlakukan spt ini? Bpjs juga tdk gratis, bayar tiap bulan. Sakit belum tentu sebulan sekali juga.

Kalau mau belajar sabar, bolehlah mampir di sini",Rumah Sakit Saiful Anwar,TD
340,"
Kamar mandi umum/ toilet umum sangat minim . Dan selalu setiap pagi di tutup atau di kunci . Dgn alasan di bersihkan . .",Rumah Sakit Saiful Anwar,TD
341,"
RS rujukan di malang",Rumah Sakit Saiful Anwar,N
342,"
Pelayanannya rawat inap kurang bagus khususnya kelas 3,semuanya lambat,tempat rawat inap juga kurang bersih khususnya toilet yang sangat terbatas,masa fasilitas kesehatan milik pemerintah kalah sama yang milik swasta mohon d koreksi masa bangunan megah d depanya saja",Rumah Sakit Saiful Anwar,TD
343,"
MENDAPAT PELAYANAN MENGIKUTI PELATIHAN HEMODIALISIS",Rumah Sakit Saiful Anwar,D
344,"
tempat penyelenggara pelatihan yang sudah terakreditasi dan menyenangkan, dengan seluruh panitia, pemateri & MOT yang kompeten, ramah serta selalu memberikan pelayanan yang terbaik. Semoga Allah memberikan pahala yang berlimpah untuk beliau2nya serta kemudahan, pemahaman, kelulusan, ilmu yang barokah bagi pesertanya. Aamiin",Rumah Sakit Saiful Anwar,D
345,"
Pelayanan dan fasislitasnya mantap",Rumah Sakit Saiful Anwar,D
346,"
bagus",Rumah Sakit Saiful Anwar,D
347,"
Baik",Rumah Sakit Saiful Anwar,D
348,"
Pelayanan lama banget .. buat saya gak recomended",Rumah Sakit Saiful Anwar,TD
349,"
Nambah ilmu tentang obat2",Rumah Sakit Saiful Anwar,D
350,"
Salam sehat, Salam Tangguh, RSSA bisa..",Rumah Sakit Saiful Anwar,D
351,"
pelayanan buruk dan sangat tidak ramah di beberapa bagian",Rumah Sakit Saiful Anwar,TD
352,"
Sangat puas dengan pelayanan panitia, dan tim yang terlibat...",Rumah Sakit Saiful Anwar,D
353,"
sangat menyenangkan",Rumah Sakit Saiful Anwar,D
354,"
Bagian informasi masalah asuransi tidak ramah sama sekali",Rumah Sakit Saiful Anwar,TD
355,"
Pelayanan penyakit dalam lama bnget nunggu dipanggil dikter aja bsa 4-5. Jam dirumah sakit lain aja gak slama ini",Rumah Sakit Saiful Anwar,TD
356,"
mudah dijangkau, strategis tempatnya, petunjuk arahnya sangat membantu",Rumah Sakit Saiful Anwar,D
357,"
MANTAP MATERINYA SANGAT BERMANFAAT",Rumah Sakit Saiful Anwar,D
358,"
Suciati Widiyaningsih",Rumah Sakit Saiful Anwar,N
359,"
Pelayanan nya sangat baik, dokter maupun perawat yang menangani sangat baik dan ramah.",Rumah Sakit Saiful Anwar,D
360,"
pelayanan ramah dan lengkap fasilitasnya",Rumah Sakit Saiful Anwar,D
361,"
pelayanan yang berkualitas",Rumah Sakit Saiful Anwar,D
362,"
update ilmu..",Rumah Sakit Saiful Anwar,N
363,"
terima kasih sudah berbagi ilmu",Rumah Sakit Saiful Anwar,D
364,"
Alkhamdulillah bisa bergabung dengan RS provinsi Jatim yg ada d kota Malang sejak tahun 2007. Banyak pengalaman, teman dan ilmu yg didapat dari sini.. semoga tetap jaya..",Rumah Sakit Saiful Anwar,D
365,"
Pada awal Tahun 2020 saya pertama kali datang ke RS Dr. saiful Anwar malam dalam rangka mewakili stikes yarsi mataram penyerahan mahasiswa profesi Ners untuk praktek klinik selama 1 bulan, saat itu awal awal mewabahnya pandemi covid 19 (korona), kesan yang saya dapatkan adalah Kami diteima dengan baik, acara penyerahannya berjalan lancar dan pegawai rumah sakit terutama pimpinan dan jajarannya ramah dan profesional",Rumah Sakit Saiful Anwar,D
366,"
Rumah Sakit Umum Daerah Saiful Anwar yang berlokasi di Malang, Jawa Timur ini berkomitmen untuk pembangunan zona integritas, pembuatan diokumen kerja, zona bebas korupsi dan beberapa komitmen lainnya. Beberapa upaya untuk mencapai beerapa hal ttersebut dengan membuat peta proses bisnis; rencana kerja dan kontrol pada SPO.",Rumah Sakit Saiful Anwar,D
367,"
Thanks RSSA",Rumah Sakit Saiful Anwar,D
368,"
luar biasa RSSA telah mengadakan Webinar untuk update pengetahuan saya",Rumah Sakit Saiful Anwar,D
369,"
RSSA Amaziiing",Rumah Sakit Saiful Anwar,D
370,"
RUMAH SAKIT HEBAT BERSAHABAT",Rumah Sakit Saiful Anwar,D
371,"
RUMAHSAKITPENDIDIKANYANGKOMPETEN",Rumah Sakit Saiful Anwar,D
372,"
Materinya bagusðŸ˜Š",Rumah Sakit Saiful Anwar,D
373,"
tempat yang nyaman aman dan luar biasa keren untuk praktik mahasiswa keperawatan.",Rumah Sakit Saiful Anwar,D
374,"
sangat bermanfaat, terima kasih",Rumah Sakit Saiful Anwar,D
375,"
Semoga ilmunya jd bermanfaat buat pasien",Rumah Sakit Saiful Anwar,D
376,"
Mantaab, semoga terus ditingkatkan pelayanan nya ðŸ‘ðŸ‘",Rumah Sakit Saiful Anwar,D
377,"
Update berdasarkan keilmuan dan pengalaman di lapangan.
Seminar tentang BLS ini sangat bermanfaat bagi nakes dan masyakat awam",Rumah Sakit Saiful Anwar,D
378,"
sangat mengedukasi, semoga bermanfaat",Rumah Sakit Saiful Anwar,D
379,"
rumah sakit terbesar dan ter lengkap",Rumah Sakit Saiful Anwar,D
380,"
Pelayanannya sangat baik",Rumah Sakit Saiful Anwar,D
381,"
Pelayanan kesehatan yg sangat berkomitmen",Rumah Sakit Saiful Anwar,D
382,"
Sukses selalu",Rumah Sakit Saiful Anwar,D
383,"
SANGAT BAIK",Rumah Sakit Saiful Anwar,D
384,"
Sangat bagus acaranya",Rumah Sakit Saiful Anwar,D
385,"
pelayanan sudah lebih baik",Rumah Sakit Saiful Anwar,D
386,"
Mantap RS nya",Rumah Sakit Saiful Anwar,D
387,"
Wahana belajar yang komprehensif. Wonderful..",Rumah Sakit Saiful Anwar,D
388,"
Webinarnya menarik.",Rumah Sakit Saiful Anwar,D
389,"
RSUD Dr. Saiful Anwar Tempat saya dan mahasiswa saya belajar, menggali ilmu, tempat terbaik mencari pengalaman. pelayanan paripurna bagi pengguna jasa.",Rumah Sakit Saiful Anwar,D
390,"
Saya sangat puas dengan pemberian materi dan penjelasan nya",Rumah Sakit Saiful Anwar,D
391,"
Semoga selalu memberikan pengetahuan lagi tentang kesehatan kepada Tim Medis , paramedis, dan non medis.",Rumah Sakit Saiful Anwar,D
392,"
Sangat bermanfaat",Rumah Sakit Saiful Anwar,D
393,"
Sangat bermanfaat.",Rumah Sakit Saiful Anwar,D
394,"
semoga semakin maju dan terdepan",Rumah Sakit Saiful Anwar,D
395,"
luar biasa dan sangat profesional",Rumah Sakit Saiful Anwar,D
396,"
mantap",Rumah Sakit Saiful Anwar,D
397,"
terima kasih ilmunya,,",Rumah Sakit Saiful Anwar,D
398,"
Pelayanan sipp",Rumah Sakit Lavalette,D
399,"
DOKTER IGDNYA GALAKK PARAHH BAGAIMANA INII PIHAK RS????!!!!!!?!!!",Rumah Sakit Lavalette,TD
400,"
Kritik: Untuk ibu penjaga bilik informasi; anda digaji untuk memberikan informasi yg baik dan benar, bukan malah main hp dan meng-underestimate orang.
Saran: Perlu adanya evaluasi terkait kinerja pelayanan, sop 3S (senyum, salam, sapa) dlam pelayanan administratif harus diterapkan agar msyarakat merasa nyaman dn rs lavalet bisa menjadi yang terbaik di kota Malang.",Rumah Sakit Lavalette,TD
401,"
Pelayanan dari suster dan pegawainya mantap. Sangat amat ramah. Puas sekali dengan pelayanan ramahnya. Sukses terus untuk lavalet. Btw fotonya diambil dari parkiran",Rumah Sakit Lavalette,D
402,"
Kurang memadai. Petugas penerima rawat inap lemot, pasien ditumpuk dulu baru diantarkan ke ruangan. Kalau begitu apa gunanya nomer antrian? Kalau pasien yg mengantri lebih awal dapatnya ruangan sama dengan mengantri belakangan. Alur pelayananya sangat tidak recomendedðŸ‘Ž",Rumah Sakit Lavalette,TD
403,"
Pelayanan rawat inap kurang bagus. Butuh waktu dari jam 7 pagi hingga jam 11 baru bisa masuk kamar rawat inap, pasien menunggu di pendaftaran kamar terima sngat lama padahal lagi sakit. Semoga sistem nya bisa di perbaiki",Rumah Sakit Lavalette,TD
404,"
Untuk pelayanan CS menurut saya sudah cukup informatif dan memberikan masukan informasi yg sangat baik. Tetapi di pelayanan apotek kurang bagus, mungkin kekurangan SDM atau administrasi yg tidak bagus sehingga pengambikan obat sangat lama, kemaren saya ambil obat non racik terlawat beberapa nomor antrian padahal posisi saya duduk di depan loket. Sehingga sempat menanyakan ke petugas dgn jawaban yg kurang mengenakan.... Padahal saya hanya pingin meluruskan kenapa nomor antrian saya bisa dilewati beberapa antriandi atas saya. Kalo bisa ditambah petugasnya di bagian obat obatan biar cepat pengambilan obatnya",Rumah Sakit Lavalette,TD
405,"
RS dengan layanan yang baik",Rumah Sakit Lavalette,D
406,"
pelayanan ramah, fasilitas lengkap, ga ketat ketat amat, cuma parkir mobilnya sering overload",Rumah Sakit Lavalette,D
407,"
Rumah sakit yg bersih dan lengkap
Poli utk kontrol lengkap
Karyawan ramah dan gemar membantu pasien/keluarga pasien.
Menerima pasien dengan BPJS.
Tersedia Laboratorium,kantin makan di luar RS dan buka pada jam tertentu.",Rumah Sakit Lavalette,D
408,"
Pelayanan sangat sangat sangaat burukk....terutama satpam depaaann...ditanyak baek2 jawabnya nyengol....pelayanan satpam (laki2) depan tgl 23 Oktober 2021 jam 15:16..",Rumah Sakit Lavalette,TD
409,"
Terimakasih RS Lavalette, pelayanannya sangat baik ramah dan memuaskan. Mbak bidannya baik-baik, semua dokternya yg merawat saya saat lahiran sangat baik. Semoga RS Lavalette semakin baik kedepannya. Aamiin ðŸ˜‡ðŸ™ðŸ»",Rumah Sakit Lavalette,D
410,"
Rumah Sakit yang konsisten mengusung green hospital dengan layanan yang ramah lingkungan, religius, bersih, fasilitas lengkap, nakes yang profesional dan administrasi transparan. Civitas hospitalia-nya juga ramah, bersahabat, dan sangat membantu. Kami sekeluarga dan juga keluarga besar mempercayakan layanan RS Lavalette untuk kebutuhan kesehatan keluarga. Terima kasih Lavalette...",Rumah Sakit Lavalette,D
411,"
Rumah sakit nya ramah . tidak bau obat. Lingkungan nya asri. Mantab",Rumah Sakit Lavalette,D
412,"
Sudah banyak perubahan, layanan sudah lebih modern, pelayanan sangat ramah dan tidak rumit, BPJS pun dilayani dengan baik, terima kasih",Rumah Sakit Lavalette,D
413,"
Hospital Garden Rumah Sakit Lavalette mmg asri dan nyaman banget, recomended banget buat semuanya yg membutuhkan pelayanan yg prima",Rumah Sakit Lavalette,D
414,"
Pelayanan dan tenaga medis tmbh profesional tata ruang n layout rumkit lbh nyaman dan memudahkan pasien.Sukses teruss buat Rumkit Lavalette.",Rumah Sakit Lavalette,D
